"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 05:32:09 GMT 2022","Thu Aug 25 05:32:09 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:34:14 GMT 2022","15858","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","Login","Login",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Thu Aug 25 05:32:09 GMT 2022","Thu Aug 25 05:32:09 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:32:09 GMT 2022","Thu Aug 25 05:32:09 GMT 2022","8","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:32:09 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","108660","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","CreateThenEditCase","CreateThenEditCase",""
"unknown","Thu Aug 25 05:32:09 GMT 2022","Thu Aug 25 05:32:09 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"failed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Thu Aug 25 05:33:58 GMT 2022","Thu Aug 25 05:33:58 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
