"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Thu Aug 25 05:23:49 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","118631","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","CreateThenEditCase","CreateThenEditCase",""
"passed","Thu Aug 25 05:23:49 GMT 2022","Thu Aug 25 05:23:49 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Aug 25 05:23:49 GMT 2022","Thu Aug 25 05:23:49 GMT 2022","21","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","5","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"unknown","Thu Aug 25 05:23:49 GMT 2022","Thu Aug 25 05:23:49 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:26:05 GMT 2022","17087","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","Login","Login",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","8","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"passed","Thu Aug 25 05:23:49 GMT 2022","Thu Aug 25 05:23:49 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"failed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","48","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Thu Aug 25 05:25:48 GMT 2022","Thu Aug 25 05:25:48 GMT 2022","8","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
